VariantName,VariantLabel,EvaluationSplit,ThresholdKey,ThresholdLabel,ThresholdValue,RocAuc,PrecisionRecallAuc,MatthewsCorrcoef,Accuracy,BalancedAccuracy,Precision,RecallSensitivity,Specificity,F1Score,F2Score,TrueNegative,FalsePositive,FalseNegative,TruePositive
esm_only,ESM-only stacking,TrainOOF,default_0p5,Default threshold 0.5,0.5,0.8289357852995097,0.6949836585863626,0.5172696268673941,0.7644757433489828,0.768755199121298,0.631768953068592,0.7829977628635347,0.7545126353790613,0.6993006993006993,0.7472245943637916,627,204,97,350
esm_only,ESM-only stacking,TrainOOF,best_mcc_on_train_oof,Best MCC threshold from train OOF,0.6027088761329651,0.8289357852995097,0.6949836585863626,0.5333819281592088,0.7895148669796557,0.7642324683610755,0.7069767441860465,0.680089485458613,0.8483754512635379,0.69327251995439,0.6853020739404869,705,126,143,304
esm_only,ESM-only stacking,TrainOOF,best_f2_on_train_oof,Best F2 threshold from train OOF,0.29019707441329956,0.8289357852995097,0.6949836585863626,0.3701614293592341,0.5868544600938967,0.6719727990049993,0.4566844919786096,0.9552572706935123,0.38868832731648617,0.61794500723589,0.7840616966580977,323,508,20,427
esm_only,ESM-only stacking,IndependentTest,default_0p5,Default threshold 0.5,0.5,0.8055221389312862,0.39003241644690306,0.272782909742869,0.5887521968365553,0.7150018295601788,0.2005050505050505,0.8783185840707964,0.551685075049561,0.32648026315789475,0.5240232312565998,1948,1583,55,397
esm_only,ESM-only stacking,IndependentTest,best_mcc_on_train_oof,Best MCC threshold from train OOF,0.6027088761329651,0.8055221389312862,0.39003241644690306,0.3139301161363769,0.6638212402711524,0.7438368257882773,0.23169993950393225,0.8473451327433629,0.6403285188331918,0.363895486935867,0.5533082924010402,2261,1270,69,383
esm_only,ESM-only stacking,IndependentTest,best_f2_on_train_oof,Best F2 threshold from train OOF,0.29019707441329956,0.8055221389312862,0.39003241644690306,0.19257173331010496,0.42430328897815717,0.6425083270050601,0.1561449383638401,0.9247787610619469,0.3602378929481733,0.2671780121444551,0.4659977703455964,1272,2259,34,418
handcrafted_no_fs,ESM2 + AAC + DPC + aaIndex without feature selection,TrainOOF,default_0p5,Default threshold 0.5,0.5,0.8450735885984111,0.7004019507685266,0.5317190832509588,0.7809076682316118,0.7715697913890437,0.6686868686868687,0.7404921700223713,0.802647412755716,0.70276008492569,0.7249233464739377,667,164,116,331
handcrafted_no_fs,ESM2 + AAC + DPC + aaIndex without feature selection,TrainOOF,best_mcc_on_train_oof,Best MCC threshold from train OOF,0.44041383266448975,0.8450735885984111,0.7004019507685266,0.553181468250085,0.7809076682316118,0.787593180368118,0.6499102333931778,0.8098434004474273,0.7653429602888087,0.7211155378486056,0.7718550106609808,636,195,85,362
handcrafted_no_fs,ESM2 + AAC + DPC + aaIndex without feature selection,TrainOOF,best_f2_on_train_oof,Best F2 threshold from train OOF,0.2737639248371124,0.8450735885984111,0.7004019507685266,0.4816162202922104,0.6830985915492958,0.7439124851597897,0.5261194029850746,0.9463087248322147,0.5415162454873647,0.6762589928057554,0.8159722222222222,450,381,24,423
handcrafted_no_fs,ESM2 + AAC + DPC + aaIndex without feature selection,IndependentTest,default_0p5,Default threshold 0.5,0.5,0.7755267504254353,0.32215989724817534,0.27371524350483656,0.6178759728847603,0.7150297115560534,0.20765027322404372,0.8407079646017699,0.589351458510337,0.33304119193689746,0.5222649807586586,2081,1450,72,380
handcrafted_no_fs,ESM2 + AAC + DPC + aaIndex without feature selection,IndependentTest,best_mcc_on_train_oof,Best MCC threshold from train OOF,0.44041383266448975,0.7755267504254353,0.32215989724817534,0.25277454172045677,0.5531006778809943,0.6987525783014163,0.18826291079812207,0.8871681415929203,0.5103370150099122,0.31061192873741283,0.5091416962925343,1802,1729,51,401
handcrafted_no_fs,ESM2 + AAC + DPC + aaIndex without feature selection,IndependentTest,best_f2_on_train_oof,Best F2 threshold from train OOF,0.2737639248371124,0.7755267504254353,0.32215989724817534,0.17624865363038617,0.3738388149635953,0.6236920524407085,0.147688060731539,0.9469026548672567,0.30048145001416027,0.2555223880597015,0.4547386315342116,1061,2470,24,428
handcrafted_with_fs,ESM2 + AAC + DPC + aaIndex with feature selection,TrainOOF,default_0p5,Default threshold 0.5,0.5,0.8546790072605982,0.7386902513639013,0.5687122002003914,0.7996870109546166,0.7891115256947641,0.6977225672877847,0.7539149888143176,0.8243080625752106,0.7247311827956989,0.7419638925583444,685,146,110,337
handcrafted_with_fs,ESM2 + AAC + DPC + aaIndex with feature selection,TrainOOF,best_mcc_on_train_oof,Best MCC threshold from train OOF,0.5301147699356079,0.8546790072605982,0.7386902513639013,0.5729391815206764,0.8059467918622848,0.7861717507006194,0.7235955056179775,0.7203579418344519,0.851985559566787,0.7219730941704036,0.7210031347962382,708,123,125,322
handcrafted_with_fs,ESM2 + AAC + DPC + aaIndex with feature selection,TrainOOF,best_f2_on_train_oof,Best F2 threshold from train OOF,0.19974347949028015,0.8546790072605982,0.7386902513639013,0.4240484522453217,0.622848200312989,0.7027515970892997,0.48057713651498335,0.9686800894854586,0.4368231046931408,0.642433234421365,0.8051320193380439,363,468,14,433
handcrafted_with_fs,ESM2 + AAC + DPC + aaIndex with feature selection,IndependentTest,default_0p5,Default threshold 0.5,0.5,0.7584567033330577,0.27563581092128286,0.2560274076742024,0.6183781069545569,0.7008440412728727,0.20300333704115683,0.8075221238938053,0.59416595865194,0.3244444444444444,0.5061009428729895,2098,1433,87,365
handcrafted_with_fs,ESM2 + AAC + DPC + aaIndex with feature selection,IndependentTest,best_mcc_on_train_oof,Best MCC threshold from train OOF,0.5301147699356079,0.7584567033330577,0.27563581092128286,0.2560666727387234,0.6442380115490836,0.6990310849793109,0.2095123419626731,0.7699115044247787,0.6281506655338431,0.32938949361097963,0.5015854713173825,2218,1313,104,348
handcrafted_with_fs,ESM2 + AAC + DPC + aaIndex with feature selection,IndependentTest,best_f2_on_train_oof,Best F2 threshold from train OOF,0.19974347949028015,0.7584567033330577,0.27563581092128286,0.14605603482230184,0.3193572683906603,0.5948933967915029,0.1378647002244309,0.9513274336283186,0.23845935995468706,0.24082889946793615,0.43637101684595087,842,2689,22,430
